file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7200,,,,,,,,,RSSI_LI-7200,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,ass_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--
TOA5_P_Bio_Atmo_25_00587_2025_05_19_1400.dat,2025-05-19,14:30,139.604,1,18000,18000,-0.765821E-01,1,0.210991E-01,217.016,1,21.9888,300.518,1,27.8959,-15.3657,1,1.32783,6.77865,1,0.629235,-9999.0,-9999.0,-9999.0,-9999.0,0.383493E-11,0.658574E-13,17.3986,424.288,428.636,0.100000,0,298.787,7.28629,7.33977,0.100000,0,289.995,289.995,100647.,1.20579,1009.41,0.239551E-01,0.439256,0.548104E-02,733.543,1912.92,0.454561E-02,38.3467,1179.38,275.693,-0.775873,-0.311924,-0.104657E-01,0.836292,-0.127425E-12,0.220416E-15,0.836292,4.63412,340.424,201.902,-0.717043,-9999.0,0.252016,0.825397,-6.46057,-0.375493,0.722141,0.707494,0,31.4589,-4.77401,10.7988,26.8906,41.0099,57.5169,86.1708,-0.754967E-01,1.01438,230.760,1.01866,283.192,1.06118,-14.4798,1.06118,6.38785,1.06118,800000099,800000099,800000099,800000099,800000099,800001199,800000199,800000199,80000,80000,81,81,0,3,1,2,36,11,0,0,0,0,0,0,0,0,0,93,0.958617,0.558084,0.134094,1.05058,3.78205,0.672177,0.189592,-0.349411,0.154145,93.6588
TOA5_P_Bio_Atmo_25_00588_2025_05_19_1430.dat,2025-05-19,15:00,139.625,1,18000,18000,0.194704,2,0.374994E-01,169.152,2,24.5263,229.125,2,26.0267,-9.94824,1,1.10798,5.16900,2,0.587154,0.253343,-0.281025,0.410009E-01,-0.633984E-02,0.343439E-09,0.580232E-11,17.3813,424.976,429.212,0.100000,0,293.653,7.17987,7.23179,0.100000,0,290.140,290.140,100647.,1.20523,1009.36,0.239671E-01,0.334951,0.539828E-02,722.829,1930.63,0.447903E-02,37.4400,1207.80,275.487,-0.393177,0.166959E-02,-0.830741E-01,0.401861,-0.180978E-13,0.197591E-13,0.401861,3.90472,9.85926,179.757,-11.9304,-9999.0,0.401931,1.12960,-33.6239,-0.721482E-01,0.738251,0.345947,0,40.3710,-6.12646,13.8581,34.5086,52.6277,73.8111,110.583,0.190181,1.02378,178.592,1.02451,215.391,1.06376,-9.35192,1.06376,4.85917,1.06376,800000099,800000099,800000099,800000099,800000099,800001199,800000199,800000199,80000,80000,81,81,0,0,0,13,39,27,0,0,0,0,0,0,0,0,0,93,0.871592,1.20646,0.181147,0.788239,1.88109,0.381447,0.146806,-0.225760,0.117303,93.6645
TOA5_P_Bio_Atmo_25_00589_2025_05_19_1500.dat,2025-05-19,15:30,139.646,1,18000,18000,0.300294E-01,5,0.115881E-01,64.8300,1,8.70826,109.245,1,10.1449,-6.59802,1,0.675420,2.46760,1,0.229151,2.23558,2.78888,0.208530E-02,0.629945E-01,-0.482269E-10,-0.935235E-12,17.4978,425.012,429.304,0.100000,0,339.324,8.24200,8.31050,0.100000,0,291.428,291.428,100647.,1.19943,1009.96,0.240735E-01,0.159900,0.616948E-02,829.759,2093.94,0.514370E-02,39.6267,1264.18,277.439,-1.05974,-0.738433,-0.672353E-01,1.29339,-0.446864E-13,-0.275617E-14,1.29339,5.00248,323.326,214.869,-2.97980,-9999.0,0.158229,0.766018,-5.35350,-0.453143,0.593435,0.338228,1,12.0469,5.00000,10.0000,16.0000,24.0000,40.0000,93.0000,0.296915E-01,1.01138,70.1760,1.01733,102.564,1.06514,-6.19449,1.06514,2.31669,1.06514,800000099,800000099,800000099,800000099,800000099,800001199,800010199,800010199,80000,80000,80,81,6,6,1,12,38,13,0,0,0,0,0,0,0,0,0,93,0.901545,0.534684,0.958076E-01,0.337795,2.21504,0.208954,0.579304E-01,-0.150363,0.562344E-01,93.6222
TOA5_P_Bio_Atmo_25_00590_2025_05_19_1530.dat,2025-05-19,16:00,139.667,1,18000,18000,-0.347703E-01,5,0.139740E-01,84.3714,1,10.2824,167.691,1,16.2159,-8.78683,1,0.953175,3.78716,1,0.366224,-0.282388,-0.777118,-0.436042E-01,-0.175506E-01,0.101958E-09,0.190956E-11,17.4419,424.277,428.620,0.100000,0,326.669,7.94625,8.00990,0.100000,0,291.265,291.265,100647.,1.20023,1009.81,0.240600E-01,0.245408,0.595142E-02,799.984,2072.68,0.495857E-02,38.5967,1272.69,276.918,-0.731091,-0.919838E-01,-0.125007E-01,0.736961,-0.532369E-13,0.584556E-14,0.736961,5.18997,11.0346,187.171,-0.971928,-9999.0,0.170205,0.797466,-5.11991,-0.473817,0.503138,0.408996,1,4.50393,2.00000,4.00000,6.00000,10.0000,16.0000,39.0000,-0.342374E-01,1.01557,92.6545,1.01934,158.066,1.06089,-8.28251,1.06089,3.56979,1.06089,800000099,800000099,800000099,800000099,800000099,800000099,800000199,801010199,80000,80000,81,81,0,7,1,5,35,11,0,0,0,0,0,0,0,0,0,93,1.00954,0.488607,0.967770E-01,0.411838,3.05288,0.362107,0.764478E-01,-0.200874,0.865774E-01,93.5978
TOA5_P_Bio_Atmo_25_00591_2025_05_19_1600.dat,2025-05-19,16:30,139.687,1,18000,18000,-0.594332E-01,5,0.101074E-01,109.482,5,12.9383,176.145,5,15.6030,-7.93238,5,0.807532,3.97989,5,0.352540,0.810778,0.147377,0.145789E-01,0.332990E-02,-0.174346E-09,-0.328649E-11,17.4001,424.523,428.851,0.100000,0,328.000,8.00246,8.06701,0.100000,0,291.733,291.733,100647.,1.19828,1009.85,0.240987E-01,0.257897,0.598391E-02,805.642,2134.34,0.499375E-02,37.7467,1328.70,277.019,-0.786683,0.280204,-0.358664E-01,0.835865,-0.144415E-12,-0.100198E-13,0.835865,5.75960,23.6173,160.395,-2.45927,-9999.0,0.222707,1.38511,-8.83904,-0.274453,0.621547,0.406252,0,24.4218,-3.70611,8.38322,20.8754,31.8363,44.6509,66.8952,-0.585906E-01,1.01438,117.931,1.01866,165.990,1.06118,-7.47507,1.06118,3.75045,1.06118,800000099,800100099,800000099,800000099,800000099,800001199,800000199,800010199,80000,80000,81,81,2,2,2,0,45,11,0,0,0,0,0,0,0,0,0,93,0.522542,2.05045,0.197212,0.437433,1.70530,0.266024,0.974569E-01,-0.181593,0.911101E-01,93.5939
TOA5_P_Bio_Atmo_25_00592_2025_05_19_1630.dat,2025-05-19,17:00,139.708,1,18000,18000,-0.118208E-01,7,0.533750E-02,5.81547,7,3.20150,88.5674,7,12.6591,-3.89986,7,0.911116,2.00147,7,0.286074,0.306325,2.01728,0.663991E-01,0.455869E-01,0.960440E-10,0.197942E-11,17.5767,425.644,430.021,0.100000,0,362.248,8.77236,8.84999,0.100000,0,291.909,291.909,100647.,1.19721,1010.27,0.241133E-01,0.129695,0.655564E-02,883.152,2158.06,0.547579E-02,40.9233,1274.91,278.331,-0.547071,0.183879,-0.412221E-01,0.578617,-0.237145E-13,0.546428E-14,0.578617,4.07328,22.8113,161.422,-4.08535,-9999.0,0.993663E-01,0.408814,-14.7820,-0.164112,0.656614E-01,0.483882E-01,1,8.68564,4.00000,7.00000,12.0000,19.0000,33.0000,85.0000,-0.116083E-01,1.01830,10.8376,1.02100,83.4569,1.06124,-3.67483,1.06124,1.88598,1.06124,800000099,800000099,800000099,800000099,800001099,801111199,800110199,801110199,80000,80000,81,81,2,21,2,17,20,9,0,0,0,0,0,0,0,0,0,93,0.292626,0.429911,0.950902E-01,0.390900E-01,4.03150,0.237646,0.896037E-02,-0.893964E-01,0.458797E-01,93.3331
TOA5_P_Bio_Atmo_25_00593_2025_05_19_1700.dat,2025-05-19,17:30,139.729,1,18000,18000,-0.140710,1,0.239201E-01,99.4751,1,11.5911,173.073,1,16.2821,-10.6938,1,1.00962,3.91094,1,0.367926,-0.100864,-1.54634,-0.130836E-01,-0.349426E-01,-0.288345E-10,-0.554585E-12,17.4785,425.423,429.894,0.100000,0,336.171,8.18234,8.24985,0.100000,0,291.851,291.851,100647.,1.19771,1009.95,0.241084E-01,0.253429,0.611594E-02,823.752,2150.23,0.510635E-02,38.3100,1326.48,277.335,-1.75661,-0.399287,-0.439106E-01,1.80195,-0.424432E-13,-0.164971E-14,1.80195,5.89583,352.059,192.806,-1.39634,-9999.0,0.342757,1.05531,-35.4655,-0.684018E-01,0.574756,0.239925,0,36.4058,-5.52473,12.4969,31.1192,47.4587,66.5615,99.7212,-0.139299,1.01013,107.933,1.01745,161.448,1.07201,-9.97551,1.07201,3.64824,1.07201,800000099,800000099,800000099,800000099,800000099,800001199,800000199,800000199,80000,80000,80,81,0,3,0,1,55,21,0,0,0,0,0,0,0,0,0,93,1.39327,0.544462,0.172894,0.343428,2.34586,0.282762,0.892287E-01,-0.242479,0.886791E-01,93.1642
TOA5_P_Bio_Atmo_25_00594_2025_05_19_1730.dat,2025-05-19,18:00,139.750,1,18000,18000,-0.116205,5,0.136526E-01,73.6498,1,10.2154,159.882,1,18.5759,-9.73197,1,1.13295,3.61216,1,0.419678,-0.348857,-0.759005,-0.274460E-01,-0.171479E-01,-0.106958E-09,-0.198659E-11,17.4198,424.960,429.410,0.100000,0,323.547,7.89300,7.95579,0.100000,0,291.650,291.650,100647.,1.19867,1009.79,0.240918E-01,0.234068,0.590373E-02,794.622,2123.33,0.492524E-02,37.4233,1328.71,276.823,-0.567519,0.285359,0.587245E-01,0.637931,-0.959531E-14,-0.614005E-14,0.637931,3.79907,33.6091,153.306,5.28182,-9999.0,0.311360,0.646832,-35.9049,-0.675646E-01,0.460649,0.195425,0,34.6377,-5.25640,11.8900,29.6078,45.1537,63.3287,94.8780,-0.114249,1.01712,81.6064,1.02027,150.696,1.06096,-9.17279,1.06096,3.40461,1.06096,800000099,800000099,800000099,800000099,800000099,800101199,800000199,800100199,80000,80000,81,81,9,18,1,18,31,11,0,0,0,0,0,0,0,0,0,93,0.359386,0.773809,0.160469,0.230046,2.37120,0.299590,0.674211E-01,-0.222748,0.826759E-01,93.1489
TOA5_P_Bio_Atmo_25_00595_2025_05_19_1800.dat,2025-05-19,18:30,139.771,1,18000,18000,-0.894654E-01,2,0.130592E-01,58.3622,1,7.85420,141.779,1,13.8274,-7.06016,1,0.801782,3.20358,1,0.312437,0.238100,-0.667390E-01,0.393536E-01,-0.150800E-02,-0.981321E-10,-0.181395E-11,17.4405,425.625,429.976,0.100000,0,322.383,7.86754,7.92993,0.100000,0,291.788,291.788,100647.,1.19812,1009.77,0.241032E-01,0.207592,0.588192E-02,792.059,2141.67,0.490930E-02,36.9833,1349.61,276.777,-0.677137,0.592789,-0.257309E-01,0.900320,-0.100884E-12,-0.562668E-14,0.900320,4.90489,49.8701,138.800,-1.63772,-9999.0,0.273261,1.14514,-30.6294,-0.792016E-01,0.411642,0.176534,0,30.3186,-4.60097,10.4074,25.9159,39.5234,55.4321,83.0474,-0.882516E-01,1.01375,65.6481,1.01833,133.563,1.06151,-6.65104,1.06151,3.01792,1.06151,800000099,800000099,800000099,800000099,800000099,800001099,800000199,800000199,80000,80000,81,81,7,8,0,2,51,13,0,0,0,0,0,0,0,0,0,93,0.524693,1.59257,0.173006,0.150820,1.39497,0.183965,0.542624E-01,-0.161583,0.733186E-01,93.1416
