file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7200,,,,,,,,,RSSI_LI-7200,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,ass_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--
TOA5_P_Bio_Atmo_25_00079_2025_05_09_0000.dat,2025-05-09,00:30,129.021,0,18000,17992,0.347157E-02,5,0.548261E-03,-2.44707,7,1.25502,-0.257781,7,0.250547,-2.71632,7,1.00451,-0.575017E-02,7,0.558881E-02,-9999.0,-9999.0,-9999.0,-9999.0,0.182820E-10,0.243280E-12,21.0885,481.978,485.284,0.00000,0,280.627,6.41375,6.45515,0.00000,0,278.354,278.354,100647.,1.25663,1008.71,0.229935E-01,-0.372611E-03,0.502645E-02,645.700,882.386,0.399994E-02,73.1767,236.685,273.913,-0.535221E-01,-0.238376E-01,-0.102404E-01,0.594787E-01,-0.159918E-14,0.866917E-15,0.594787E-01,0.343033,326.885,204.007,-9.91398,-9999.0,0.525605E-01,0.963593E-02,5.19575,0.393764,9.49283,-0.367295E-01,1,0.141769,1.00000,1.00000,3.00000,-9999.0,-9999.0,-9999.0,0.333472E-02,1.04104,-2.32818,1.05886,-0.215260,1.19753,-2.26826,1.19753,-0.480168E-02,1.19753,800000099,811100099,800000099,800000099,800000099,800000099,811110199,811110199,80000,80000,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.108170E-01,0.736564E-02,0.108918E-02,0.739693E-01,63.2429,0.196847E-02,-0.183673E-02,-0.524920E-01,-0.111120E-03,99.5873
TOA5_P_Bio_Atmo_25_00080_2025_05_09_0030.dat,2025-05-09,01:00,129.042,0,18000,17999,0.136418E-02,5,0.276151E-03,0.434460E-01,8,0.147251,1.33477,7,0.490664,3.14149,7,1.01461,0.297633E-01,7,0.109410E-01,-0.584771,0.332956,0.695554,0.742439E-02,-0.569432E-10,-0.753775E-12,21.6985,495.105,498.572,0.00000,0,287.230,6.55387,6.59711,1.50000,0,277.977,277.977,100647.,1.25827,1008.77,0.229624E-01,0.192866E-02,0.514323E-02,659.807,859.497,0.408755E-02,76.7667,199.690,274.213,0.192453E-01,-0.904544E-01,-0.559346E-02,0.926481E-01,0.457260E-14,-0.262429E-14,0.926481E-01,0.544021,256.245,282.011,-3.46123,-9999.0,0.329268E-01,0.118168E-01,-71.9483,-0.284357E-01,0.325494E-01,0.103952E-02,1,2.21395,1.00000,2.00000,3.00000,6.00000,11.0000,33.0000,0.128098E-02,1.06495,0.110624,1.05431,1.20396,1.10865,2.83362,1.10865,0.268464E-01,1.10865,800000099,811100099,800000099,800000099,800001099,810001099,811110199,811110199,80000,80000,80,81,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,100,0.118196E-01,0.112258E-01,0.588150E-03,0.402363E-01,132.733,0.148657E-01,0.871528E-04,0.654960E-01,0.620524E-03,99.4507
TOA5_P_Bio_Atmo_25_00081_2025_05_09_0100.dat,2025-05-09,01:30,129.062,0,18000,18000,0.245845E-02,5,0.651172E-03,0.790959,7,0.477296,-0.375630,5,0.203392,0.475994,7,0.485854,-0.836964E-02,5,0.453189E-02,-1.23396,-0.717705,0.710869,-0.159916E-01,-0.990118E-11,-0.121757E-12,22.3102,508.483,512.049,0.00000,0,274.353,6.25292,6.29227,0.00000,0,277.184,277.184,100647.,1.26201,1008.60,0.228969E-01,-0.542353E-03,0.492109E-02,629.509,813.039,0.389940E-02,77.4267,183.530,273.562,-0.178857,-0.181470,-0.505785E-02,0.254847,0.407751E-13,-0.443796E-15,0.254847,0.696807,299.312,225.415,-1.13720,-9999.0,0.441366E-01,0.447702E-01,-9.51785,-0.214954,-2.10568,0.140791E-01,1,7.06188,3.00000,6.00000,10.0000,15.0000,26.0000,65.0000,0.238554E-02,1.03056,0.748765,1.03103,-0.347239,1.08176,0.440017,1.08176,-0.773702E-02,1.08176,800000099,811100099,800000099,800000099,800000099,800000099,811110199,811110199,80000,80000,80,81,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,100,0.491549E-01,0.395055E-01,0.879834E-03,0.358262E-01,245.226,0.227219E-02,0.588253E-03,0.101384E-01,-0.178269E-03,99.3755
TOA5_P_Bio_Atmo_25_00082_2025_05_09_0130.dat,2025-05-09,02:00,129.083,0,18000,17999,0.804685E-02,5,0.101441E-02,0.299794,9,0.628513,-0.533454,7,0.295158,13.4602,6,2.86313,-0.118811E-01,7,0.657375E-02,-0.706864,0.158320,-0.162142E-01,0.352609E-02,0.220154E-09,0.273759E-11,22.3354,508.179,511.734,0.600000,0,277.739,6.31917,6.35936,1.30000,0,276.731,276.731,100647.,1.26405,1008.62,0.228594E-01,-0.769893E-03,0.498139E-02,636.179,787.480,0.394082E-02,80.7867,151.301,273.707,0.313849E-01,-0.417664E-01,-0.120416E-01,0.536138E-01,0.468881E-13,0.985671E-14,0.536138E-01,0.508311,256.052,306.923,-12.9793,-9999.0,0.797868E-01,0.273342E-01,-148.343,-0.137917E-01,-0.561986,0.294713E-02,1,0.887782E-01,1.00000,1.00000,-9999.0,-9999.0,-9999.0,-9999.0,0.734074E-02,1.09619,0.252281,1.07595,-0.470131,1.13469,11.8624,1.13469,-0.104707E-01,1.13469,800000099,810100099,800000099,800000099,800000099,800010099,811110199,811110199,80000,80000,80,81,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0.240492E-01,0.286540E-01,0.196500E-02,0.863713E-01,208.675,0.127406E-02,0.197875E-03,0.272892,-0.240877E-03,99.3083
TOA5_P_Bio_Atmo_25_00083_2025_05_09_0200.dat,2025-05-09,02:30,129.104,0,18000,17999,0.309496E-02,5,0.501540E-03,-1.42524,7,0.403745,0.639000,5,0.280604,9.90956,6,2.28441,0.142286E-01,5,0.624824E-02,-0.359746,-0.454035E-01,0.164323,-0.101100E-02,-0.585406E-10,-0.721387E-12,22.4807,511.264,514.834,0.600000,0,277.026,6.30019,6.34014,1.40000,0,276.500,276.500,100647.,1.26511,1008.62,0.228403E-01,0.922015E-03,0.497057E-02,634.268,774.757,0.392895E-02,81.8667,140.489,273.666,-0.175606,-0.648319E-01,-0.141871E-01,0.187729,-0.408798E-13,-0.260404E-14,0.187729,0.551684,347.740,200.264,-4.33409,-9999.0,0.494610E-01,0.198999E-01,7.43354,0.275226,-2.23042,-0.225824E-01,1,2.63742,1.00000,2.00000,5.00000,9.00000,20.0000,85.0000,0.301945E-02,1.02501,-1.33784,1.04282,0.552862,1.15580,8.57374,1.15580,0.123106E-01,1.15580,800000099,811100099,800000099,800000099,800000099,800001099,811110199,811110199,80000,80000,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.247540E-01,0.142987E-01,0.747055E-03,0.258595E-01,606.868,0.500626E-02,-0.104846E-02,0.197069,0.282962E-03,99.2573
TOA5_P_Bio_Atmo_25_00084_2025_05_09_0230.dat,2025-05-09,03:00,129.125,0,18000,17998,0.891475E-02,5,0.127135E-02,-2.74437,5,2.05311,0.896994,6,0.480892,4.90599,5,3.31574,0.199656E-01,6,0.107038E-01,-0.645347,-0.423385,0.187689,-0.942383E-02,-0.986813E-11,-0.117386E-12,22.6514,514.782,518.354,0.100000,0,269.448,6.12354,6.16127,1.50000,0,276.087,276.087,100647.,1.26709,1008.51,0.228062E-01,0.129377E-02,0.483843E-02,616.484,752.421,0.381854E-02,81.9333,135.937,273.273,-0.144308E-01,0.316447E-01,-0.533275E-02,0.351863E-01,0.428507E-13,-0.435652E-15,0.351863E-01,1.53506,109.922,114.514,-8.71720,-9999.0,0.838785E-01,0.116532,18.8273,0.108667,-3.05952,-0.256038E-01,1,0.168088E-01,1.00000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.837030E-02,1.06505,-2.56457,1.05375,0.786778,1.14008,4.30318,1.14008,0.175124E-01,1.14008,800000099,800100099,800000099,800000099,800100099,810111199,811110199,811110199,80000,80000,80,81,0,1,2,7,9,0,0,0,0,0,0,0,0,0,0,100,0.382253E-01,0.192293,0.254624E-02,0.166521,337.622,0.313328E-02,-0.200690E-02,0.987441E-01,0.401852E-03,99.2015
TOA5_P_Bio_Atmo_25_00085_2025_05_09_0300.dat,2025-05-09,03:30,129.146,0,18000,17998,0.908849E-02,5,0.136022E-02,-3.02329,7,0.889401,3.46530,7,0.618897,12.5405,7,2.33988,0.771279E-01,7,0.137749E-01,-0.853728E-01,0.460799,0.180160,0.102561E-01,-0.154659E-09,-0.188511E-11,22.8273,518.158,521.798,0.00000,0,278.238,6.31576,6.35590,0.900000,0,276.032,276.032,100647.,1.26725,1008.62,0.228017E-01,0.499789E-02,0.499129E-02,635.835,749.510,0.393868E-02,84.8333,113.676,273.700,0.551800E-01,0.401799E-01,-0.662852E-02,0.685798E-01,0.161390E-13,-0.677516E-14,0.685798E-01,0.530997,169.281,36.0606,-5.54654,-9999.0,0.846866E-01,0.310757E-01,17.5898,0.116312,-0.872445,-0.279303E-01,1,0.920998E-01,1.00000,1.00000,-9999.0,-9999.0,-9999.0,-9999.0,0.874432E-02,1.03936,-2.73433,1.04093,3.08311,1.12396,11.1574,1.12396,0.686212E-01,1.12396,800000099,811100099,800000099,800000099,800000099,801001199,811110199,811110199,80000,80000,80,81,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,100,0.539229E-01,0.701329E-02,0.121511E-02,0.351938E-01,192.233,0.602797E-02,-0.213926E-02,0.256025,0.157463E-02,99.0569
TOA5_P_Bio_Atmo_25_00086_2025_05_09_0330.dat,2025-05-09,04:00,129.167,0,18000,17999,-0.137841E-02,7,0.742414E-03,-4.94582,5,1.03431,-0.966993,5,0.372610,7.46805,5,1.75268,-0.215133E-01,5,0.828967E-02,-0.707839,-0.913109,-0.112848,-0.203145E-01,-0.178682E-10,-0.205524E-12,22.7341,516.047,519.560,0.00000,0,261.492,5.93566,5.97111,1.50000,0,275.580,275.580,100647.,1.26951,1008.40,0.227643E-01,-0.139406E-02,0.469861E-02,597.569,725.792,0.370111E-02,82.3333,128.223,272.844,-0.384585,-0.345803,-0.976458E-02,0.517281,0.208199E-13,-0.785966E-15,0.517281,1.06025,322.192,221.961,-1.08162,-9999.0,0.329512E-01,0.551431E-01,0.633347,3.23030,5.11463,-0.117245,1,38.9939,17.0000,36.0000,75.0000,142.000,311.000,1373.00,-0.125859E-02,1.09520,-4.20070,1.18863,-0.559955,1.72691,4.32451,1.72691,-0.124577E-01,1.72691,800000099,800100099,800000099,800000099,800000099,800010099,811110199,811110199,80000,80000,80,81,4,0,4,7,2,0,0,0,0,0,0,0,0,0,0,100,0.634723E-01,0.451444E-01,0.166955E-02,0.150426,403.520,0.637738E-02,-0.328134E-02,0.990326E-01,-0.285284E-03,99.1109
TOA5_P_Bio_Atmo_25_00087_2025_05_09_0400.dat,2025-05-09,04:30,129.187,0,18000,18000,0.332633E-02,7,0.112359E-02,-1.84403,6,0.863789,0.289150,5,0.229914,7.03662,6,2.01131,0.642969E-02,5,0.511249E-02,-0.824391,0.186953,0.868413,0.415718E-02,-0.314032E-10,-0.354780E-12,23.4876,532.264,535.923,0.00000,0,265.353,6.01330,6.04968,1.50000,0,275.054,275.054,100647.,1.27190,1008.44,0.227209E-01,0.416644E-03,0.476916E-02,605.385,699.059,0.374963E-02,86.6000,93.6739,273.023,0.169265,0.153053,0.849446E-03,0.228203,-0.651497E-15,-0.133701E-14,0.228203,1.03496,146.130,42.1205,0.213274,-9999.0,0.511394E-01,0.128226,6.34986,0.322196,-6.37742,-0.281133E-01,1,3.57774,2.00000,3.00000,7.00000,13.0000,28.0000,124.000,0.324502E-02,1.02506,-1.75323,1.04542,0.247567,1.16797,6.02468,1.16797,0.550503E-02,1.16797,800000099,800100099,800000099,800000099,800000099,800100099,811110199,811110199,80000,80000,80,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0.240595,0.151110E-01,0.746120E-03,0.132211,603.601,0.395662E-02,-0.136690E-02,0.137714,0.125836E-03,98.9829
